"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YJR150C",61825.6174128546,68090.1843743364,65323.0972671034,22713.6347243434,20288.115074909,25783.5438465557
"YJR151C",1751.50302640542,1755.9831085896,1875.03269482485,2498.57819961432,2043.17114404544,2750.91377705544
"YJR151W-A",8.78190932459544,8.81517624793977,10.2150691606681,15.6759873102328,13.3339482292122,13.6861381943057
"YJR152W",1765.16377424368,1852.95004731694,1722.94166509935,1522.31254546038,1615.45911238532,1592.15407660423
"YJR153W",550.332984341314,528.029057251592,524.373550247628,512.08225213427,463.611123046454,480.155348316891
"YJR154W",4184.09190931836,4186.3272001466,3894.21136558358,2250.3750672023,3984.79914388379,2758.89735766878
"YJR155W",5472.10527692569,5493.61783771606,5189.25513361939,5211.39489246849,7196.22929047328,5480.15783530323
"YJR156C",792.323374619055,709.621687959151,805.85545600826,455.474520180652,588.745098735984,447.080514347319
"YJR158W",0,0,0,0,0,0
"YJR159W",17.5638186491909,12.3412467471157,19.2951306368175,55.7368437697165,51.2844162662007,53.6040412610306
"YJR160C",49.7641528393742,59.9431984859904,34.0502305355603,36.5773037238764,41.0275330129605,34.2153454857642
"YJR161C",301.512220144443,262.692252188605,261.051767439296,137.600333056488,184.623898558322,175.638773493589
"YKL224C",6.83037391912979,12.3412467471157,4.5400307380747,6.09621728731274,6.15412995194408,1.14051151619214
"YKL222C",1388.51744098881,1381.33811805216,1343.84909847011,1067.70891346363,1147.74523603757,1011.63371486243
"YKL221W",319.076038793634,308.531168677892,276.941875022557,890.918612131561,786.702945523518,804.060618915458
"YKL220C",814.76603178191,724.607487580649,778.615271579812,322.228628043673,318.989069175768,353.558570019563
"YKL219W",2049.11217573894,1895.26289330705,1836.44243355122,1138.25085635968,1132.35991115771,1111.99872828734
"YKL218C",3863.06433511926,3642.43082564871,3498.09368368656,1849.76650260746,1861.62431046308,1843.0666101665
"YKL217W",890.875912595071,886.806730542741,936.381339727908,4432.82085606026,4365.329512579,4447.99491314934
"YKL216W",22836.8673147591,23213.0036136998,23427.69361615,8141.06274311421,8791.17463635212,9684.08328398745
"YKL215C",1951.53540546565,1888.2107523087,1885.24776398552,1712.16616955098,1595.97103420417,1738.13955067682
"YKL214C",1848.10402897597,1826.50451857312,1890.92280240811,1907.24512274498,1809.31420587156,1752.96620038732
"YKL213C",4056.26634026036,4173.10443577469,4218.82356335592,3648.15060236472,3754.01927068589,3582.34667235951
"YKL212W",6449.82451506398,6729.50554767722,6340.15292572133,5639.87187894818,5699.75002382554,5671.76377002351
"YKL211C",15684.4900537275,15189.430192825,14886.760790147,4829.94586791949,4939.71497476045,4809.53706378225
"YNCK0001W",36.1034050011146,29.9715992429952,22.7001536903735,10.4506582068218,15.3853248798602,13.6861381943057
"YKL210W",12425.4259265998,12267.199266633,12128.6921167666,15174.3557163053,14135.0108112902,14497.0418823183
"YKL209C",1613.9197803201,1511.80272652167,1536.80040483829,1344.65135594441,1328.2663812946,1346.94410062292
"YNCK0002C",0,0.881517624793977,0,1.74177636780364,2.05137665064803,1.14051151619214
"YKL208W",1131.89053517008,1083.3851608718,1112.3075308283,788.153806431147,732.341464281346,749.316066138236
"YKL207W",6324.92624911418,6384.83215638277,6627.30986990455,5000.63995196425,5228.95908250182,5131.16131134844
"YKL206C",2227.67766533904,2105.94560563281,2116.78933162733,1497.92767631113,1433.91227880297,1505.47520137362
"YKL205W",2361.35784061344,2500.86550154051,2297.2555534658,2100.58229957119,2180.61337963885,2138.45909286026
"YKL204W",3004.38875671437,2840.24978708619,2912.42971847492,2876.54367142771,2986.80440334353,2955.06533845383
"YKL203C",2278.41758588115,2202.91254436015,2371.03105295951,3054.20486094368,2680.12359407165,3155.79536530365
"YKL201C",10834.9245711453,11494.1083096887,10128.8085766447,3844.10044374263,3762.22477728848,3991.79030667249
"YKL198C",4035.77521850297,4092.00481429364,4426.52996962284,4290.86608208427,4065.82852158439,4280.3397202691
"YKL197C",1500.73072680309,1480.06809202909,1463.02490534457,1575.43672467839,1470.83705851464,1535.12850079462
"YNCK0003W",2.92730310819848,3.52607049917591,4.5400307380747,5.22532910341092,2.05137665064803,2.28102303238428
"YKL196C",4495.36180649013,4281.53110362434,4364.10454697431,5066.82745394079,5370.50407139654,5035.3583439883
"YKL195W",4843.71087636575,4667.63582328411,4569.54093787219,7390.35712859084,7834.20742882482,7201.18971323717
"YKL194C",1283.13452909367,1266.74082682894,1360.87421373789,1403.87175244973,1348.78014780108,1284.21596723235
"YKL193C",3100.01399158219,2883.4441507011,2954.42500280211,2779.00419483071,3135.52921051551,2601.50676843427
"YKL192C",5652.62230193126,5275.88298439195,5429.87676273735,7842.34809603588,7390.08438395952,7586.68260571011
"YKL191W",2711.65844589453,2916.94182044327,2794.38891928498,3121.26325110412,2842.18234947284,3290.37572421432
"YKL190W",4736.37642906514,4725.81598652051,4566.13591481863,4838.65474975851,4504.82312482307,4673.81619335539
"YNCK0004W",1.95153540546565,0.881517624793977,1.13500768451868,0,0,1.14051151619214
"YKL189W",1663.68393315947,1512.68424414646,1561.7705738977,1545.82652642573,1693.41142510995,1568.20333476419
"YKL188C",1613.9197803201,1492.4093387762,1595.82080443326,1795.77143520555,1826.75090740207,1659.44425605956
"YKL187C",1011.87110773394,1027.84955050978,993.131723953842,1664.26731943638,1731.36189314694,1637.77453725191
"YKL186C",4049.43596634123,4082.30812042091,4216.55354798688,4179.39239454483,4329.43042119266,4077.3286703869
"YKL185W",8096.920397277,7936.30317602017,8051.74451397549,5910.71810414165,6293.62356418815,5813.18719803133
"YKL184W",2209.13807898712,2390.67579844126,2262.07031524572,2152.8355906053,1935.47386988641,2197.76569170225
"YKL183C-A",82.9402547322903,82.8626567306338,76.0455148627513,50.5115146663055,53.3357929168487,62.7281333905677
"YKL183W",1880.30436316616,1940.22029217154,1919.29799452108,1337.68425047319,1390.83336913936,1377.7379115601
"YKL182W",16667.0881303794,16788.5031642013,17151.1011207617,24019.9670001961,22929.2625126183,25970.5877352112
"YKL181W",7005.03633791896,7707.99011119853,7342.36471115132,8197.67047506783,8219.86623914665,8412.41294343322
"YKL180W",21135.128441193,23082.5390052303,21339.2794766356,25559.6973093345,24969.3565916878,26210.0951536116
"YKL179C",3236.62146996479,3288.06074048153,3216.61177792593,2874.80189505991,2906.80071396825,2912.86641235472
"YKL178C",4299.23249824083,4447.25641708561,4324.37927801616,1472.67191897798,1669.82059362749,1471.25985588786
"YKL176C",5806.79359896305,5837.40971138571,5710.22366081346,5158.27071325048,5134.59575657201,4891.65389294809
"YKL175W",29099.3444308984,27496.2977525737,30715.5779584444,10846.0414423133,11868.2396123242,9685.22379550365
"YKL174C",2080.33674222639,2014.26777265424,2088.41413951436,1967.33640743421,2266.77119896607,2008.44078001436
"YKL173W",2061.79715587446,2098.89346463446,2048.68887055621,2388.84628844269,2424.72720106597,2439.55413313499
"YKL172W",7102.61310819225,7952.17049326646,7493.3207331923,8854.3201657298,8779.89206477356,8909.67596449299
"YKL171W",1769.06684505461,1819.45237757477,1697.97149603994,4050.50094332736,3685.29815288918,3997.49286425345
"YKL170W",1699.78733816058,1711.02570972511,1682.08138845668,2247.7624026506,2086.25005370904,2194.34415715368
"YKL168C",1989.59034587223,1950.79850366907,1938.5931251579,2187.67111796137,2263.6941339901,2101.96272434211
"YKL167C",1503.65802991129,1505.63210314811,1427.83966712449,1773.1283424241,1774.44080281054,1658.30374454337
"YKL166C",1651.97472072668,1756.8646262144,1754.72188026587,1553.66452008085,1617.51048903597,1535.12850079462
"YKL165C",3448.36306145781,3757.02811687193,4482.14534616425,2476.80599501677,2458.57491580166,2887.7751589985
"YNCK0005C",1.95153540546565,7.93365862314579,4.5400307380747,0.87088818390182,2.05137665064803,6.84306909715284
"YKL164C",25153.3398410468,24291.0996688228,25184.6855117849,21213.9652716644,18340.3329451187,20126.6067262427
"YKL163W",12151.2352021319,11928.6964987121,11123.075308283,40813.3038503749,43716.8878019601,39912.2005091439
"YKL162C",860.627113810353,856.835131299745,799.045409901148,975.394765970038,1015.43144207077,918.111770534672
"YKL161C",2503.81992521243,2395.96490419003,2495.88189825657,3877.1941947309,3330.40999232707,3939.32677692765
"YKL160W",3605.46166159779,3481.11310031141,3600.24437529324,4444.14240245099,3872.99911642348,4506.16100047514
"YKL159C",533.744933394856,574.749491365673,540.26365783089,530.370903996208,601.053358639872,548.586039288419
"YKL157W",7779.79589388883,7702.70100544977,7720.32227009604,9192.22478108371,9602.49410168342,9158.30747502288
"YKL156W",12378.5890768686,13250.9729359031,12797.2116429481,15224.8672309716,14167.8328377006,15529.2048044722
