"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"tricarboxylic acid cycle","8.91444304083315e-07","11","30","YDR148C/YDR178W/YFR049W/YGR244C/YIL125W/YKL148C/YKL141W/YKL085W/YLL041C/YMR118C/YNL117W"
"mitochondrial electron transport, cytochrome c to oxygen","9.07595918997622e-07","8","14","YEL039C/YGL191W/YGL187C/YHR051W/YJR048W/YLR395C/YMR256C/YNL052W"
"hexose transmembrane transport","1.3190366994264e-06","10","25","YCL040W/YDR277C/YDR342C/YDR343C/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"monosaccharide transmembrane transport","1.3190366994264e-06","10","25","YCL040W/YDR277C/YDR342C/YDR343C/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"carbohydrate transmembrane transport","1.34699065766184e-06","12","38","YBR298C/YCL040W/YDR277C/YDR342C/YDR343C/YDR536W/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"carbohydrate transport","1.82774867593691e-06","12","39","YBR298C/YCL040W/YDR277C/YDR342C/YDR343C/YDR536W/YEL069C/YFL011W/YFR053C/YHR096C/YNL318C/YNR072W"
"purine-containing compound biosynthetic process","2.72796152992823e-06","18","92","YAL054C/YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"nucleotide biosynthetic process","2.72796152992823e-06","19","102","YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YGL037C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"carbohydrate catabolic process","1.32704015175657e-05","18","102","YBR299W/YCL040W/YDL246C/YDR516C/YFR017C/YFR053C/YGR292W/YHL032C/YIL162W/YIL155C/YIL024C/YJR159W/YLR070C/YLR308W/YMR105C/YNR071C/YOL157C/YPR184W"
"alditol metabolic process","1.58106278485453e-05","8","19","YDL246C/YEL070W/YHL032C/YIL155C/YJR159W/YLR070C/YNR073C/YPL201C"
"alcohol catabolic process","3.30792760608994e-05","7","15","YDL246C/YDR216W/YHL032C/YIL155C/YJR159W/YLR070C/YPL061W"
"nucleoside phosphate biosynthetic process","3.32523987767564e-05","20","131","YAL054C/YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YGL037C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"fructose transmembrane transport","0.000139792991599917","7","18","YDR342C/YDR343C/YEL069C/YFL011W/YFR053C/YHR096C/YNR072W"
"energy reserve metabolic process","0.000375801219288705","10","44","YEL011W/YER054C/YER067W/YFR017C/YIL057C/YIL045W/YIL024C/YMR105C/YOR178C/YPR184W"
"glucose 6-phosphate metabolic process","0.000437124700128015","7","21","YBR117C/YCL040W/YDR516C/YFR053C/YGR043C/YGR256W/YMR105C"
"carbohydrate derivative metabolic process","0.000642443692978107","31","313","YBL099W/YBR039W/YBR117C/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGR043C/YGR256W/YHL032C/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YLR308W/YML081C-A/YMR101C/YMR105C/YOL077W-A/YPL271W/YPL078C/YPL057C/YPR020W"
"external encapsulating structure organization","0.000642443692978107","26","241","YAL018C/YBL043W/YBR301W/YCL058C/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR021W-A/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR092W/YOR255W/YPR030W"
"cell wall organization","0.000642443692978107","26","241","YAL018C/YBL043W/YBR301W/YCL058C/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR021W-A/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR092W/YOR255W/YPR030W"
"monosaccharide metabolic process","0.000648392828448584","14","88","YBR105C/YCL040W/YDL246C/YDL085W/YDR516C/YFR053C/YHR043C/YJR159W/YKR097W/YLR070C/YMR105C/YMR145C/YMR280C/YNR071C"
"mannose transmembrane transport","0.000720472815963521","6","16","YDR342C/YDR343C/YEL069C/YFL011W/YHR096C/YNR072W"
"organophosphate metabolic process","0.000720472815963521","38","423","YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YHL032C/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR070C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPL057C/YPR020W"
"fungal-type cell wall organization","0.000747402120916764","22","189","YAL018C/YBR301W/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR255W/YPR030W"
"glycogen biosynthetic process","0.000747402120916764","7","23","YEL011W/YER054C/YFR017C/YIL045W/YMR105C/YOR178C/YPR184W"
"hexose metabolic process","0.00078117453871229","13","79","YBR105C/YCL040W/YDL246C/YDL085W/YDR516C/YFR053C/YHR043C/YJR159W/YKR097W/YMR105C/YMR145C/YMR280C/YNR071C"
"cristae formation","0.00096674879221323","5","11","YCL057C-A/YDR322C-A/YKR016W/YLR295C/YPR020W"
"polyol catabolic process","0.00096674879221323","5","11","YDL246C/YHL032C/YIL155C/YJR159W/YLR070C"
"D-glucose transmembrane transport","0.00096674879221323","5","11","YCL040W/YDR277C/YDR342C/YFR053C/YHR096C"
"glucose metabolic process","0.00135783733001037","11","62","YBR105C/YCL040W/YDL085W/YDR516C/YFR053C/YHR043C/YKR097W/YMR105C/YMR145C/YMR280C/YNR071C"
"alcohol metabolic process","0.00154265466333109","17","133","YDL246C/YDL085W/YDR216W/YEL070W/YGL256W/YGR087C/YHL032C/YIL155C/YJR159W/YKL150W/YLR070C/YMR015C/YMR101C/YMR145C/YNR073C/YPL201C/YPL061W"
"cell differentiation","0.00160466008620898","16","121","YAL018C/YDL222C/YDL079C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"pyridine nucleotide metabolic process","0.001963167410636","13","87","YBR117C/YCL040W/YDL085W/YDR516C/YFR053C/YGL037C/YGR043C/YGR256W/YIL155C/YML120C/YMR145C/YPL134C/YPL061W"
"NADH oxidation","0.00232721854984299","5","13","YDL085W/YIL155C/YML120C/YMR145C/YPL134C"
"ascospore formation","0.00290879450386115","15","115","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"cellular developmental process","0.00295721313645392","16","128","YAL018C/YDL222C/YDL079C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"fungal-type cell wall organization or biogenesis","0.00300641791912575","22","210","YAL018C/YBR301W/YDL222C/YDL049C/YDR077W/YEL049W/YER150W/YGR282C/YGR294W/YHR139C/YHR185C/YJL116C/YKL163W/YKL096W-A/YKL096W/YLR037C/YLR308W/YNL194C/YOL161C/YOL109W/YOR255W/YPR030W"
"cell development","0.00308191230537656","15","116","YAL018C/YDL222C/YDR155C/YDR218C/YDR516C/YGR059W/YHR139C/YHR185C/YIL024C/YKL096W/YLR308W/YNL194C/YOR255W/YPL130W/YPR192W"
"carbohydrate biosynthetic process","0.00321632501437908","13","92","YBR105C/YDL049C/YEL011W/YER054C/YFR017C/YIL045W/YKR097W/YLR070C/YMR105C/YMR280C/YOR178C/YPL201C/YPR184W"
"ethanol metabolic process","0.00322553232357754","5","14","YDL085W/YDR216W/YGR087C/YMR145C/YPL061W"
