"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"alpha-amino acid metabolic process",1.11502213111567e-34,58,165,"YAL044C/YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR019C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"alpha-amino acid biosynthetic process",1.11502213111567e-34,50,116,"YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"proteinogenic amino acid metabolic process",4.35225617972271e-34,55,150,"YAL044C/YBR248C/YCL030C/YDL182W/YDL066W/YDR019C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"proteinogenic amino acid biosynthetic process",5.01005861115363e-34,48,109,"YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"L-amino acid biosynthetic process",8.95198297713603e-34,47,105,"YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"amino acid biosynthetic process",1.99287663347642e-33,50,124,"YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"L-amino acid metabolic process",1.69153692981319e-32,53,148,"YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"organic acid biosynthetic process",1.96274791382673e-29,56,190,"YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YEL071W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR020W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"carboxylic acid biosynthetic process",1.96274791382673e-29,56,190,"YAL012W/YBR248C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YEL071W/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YGR267C/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR303W/YMR020W/YMR062C/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"amino acid metabolic process",4.28976900039727e-29,61,233,"YAL044C/YAL012W/YBR145W/YBR248C/YCL030C/YDL182W/YDL170W/YDL066W/YDR019C/YDR158W/YDR354W/YDR502C/YER052C/YER055C/YER069W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR155W/YGR204W/YHR018C/YHR112C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR180W/YLR303W/YMR062C/YMR096W/YMR189W/YNL277W/YNL104C/YNL097C-B/YOL140W/YOL064C/YOL058W/YOR130C/YOR184W/YOR202W/YOR303W/YPR145W/YPR167C"
"small molecule biosynthetic process",1.20444764117586e-27,72,349,"YAL012W/YBR145W/YBR240C/YBR248C/YBR256C/YCL030C/YDL182W/YDL066W/YDR158W/YDR354W/YEL071W/YEL029C/YER052C/YER055C/YER069W/YER073W/YER091C/YFR025C/YGL202W/YGL184C/YGL125W/YGL026C/YGL009C/YGR144W/YGR155W/YGR204W/YGR267C/YHR018C/YHR208W/YIL116W/YIL074C/YIL046W/YIR017C/YIR034C/YJL089W/YJL088W/YJL071W/YJL060W/YJR109C/YJR130C/YJR137C/YJR139C/YKL211C/YKL001C/YKR069W/YLL062C/YLR058C/YLR134W/YLR303W/YMR020W/YMR062C/YMR095C/YMR096W/YNL277W/YNL104C/YNL097C-B/YOL143C/YOL140W/YOL064C/YOL058W/YOL055C/YOR047C/YOR130C/YOR143C/YOR184W/YOR202W/YOR303W/YPL258C/YPL214C/YPR121W/YPR145W/YPR167C"
"sulfur amino acid metabolic process",8.72012415301616e-25,28,46,"YAL012W/YDR158W/YDR253C/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR155W/YGR204W/YHR112C/YHR208W/YIL046W/YIR017C/YJR010W/YJR130C/YJR137C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL311C/YNL277W/YOL064C/YPR167C"
