"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YLR111W",62.3162400956659,-2.24062063172251,0.249668144788999,-8.97439532630852,2.84912399716869e-19,1.40872113689296e-18,"Down"
"YLR130C",22314.1411166064,-1.71869190712401,0.0588177938431081,-29.2206115671133,1.06131505686663e-187,4.52779950611887e-186,"Down"
"YLR134W",20000.1869358015,-5.12975595280156,0.0793579376200033,-64.6407417663099,0,0,"Down"
"YLR136C",6848.01828174978,-1.1380476011909,0.198534567791818,-5.73223904455895,9.91134523749452e-09,2.80126382406179e-08,"Down"
"YLR146W-A",548.873123660988,1.12652037068787,0.0869623502887633,12.9541159702699,2.22686651027365e-38,2.01438898937935e-37,"Up"
"YLR179C",38180.2545647355,-1.95040372847939,0.0484287289579652,-40.2736922988892,0,0,"Down"
"YLR180W",29242.9578423481,-2.80361201512799,0.0647500419244923,-43.2989992253193,0,0,"Down"
"YNCL0032C",30.4559957884825,-1.34697743910868,0.356847577221602,-3.77465765522686,0.000160227550988625,0.000307127127183418,"Down"
"YLR227W-B",210.098048084166,-1.81196626864508,0.132404066114476,-13.6851255540631,1.24591757360429e-42,1.26069287816306e-41,"Down"
"YLR237W",35988.0306733698,-1.50610105832581,0.0784810460960366,-19.1906343409694,4.43196730055228e-82,7.54270661339275e-81,"Down"
"YLR295C",7748.23373602756,1.8204768659192,0.0664439484767804,27.3986857743018,2.84321416410645e-165,9.91826200672274e-164,"Up"
"YLR302C",34.3721527038975,-2.79782905595852,0.377495186866194,-7.41156219549424,1.24820234823527e-13,4.68279835220291e-13,"Down"
"YLR303W",108231.694202733,-5.18941148935328,0.18063094730746,-28.7293598727585,1.6403729380643e-181,6.63930431470385e-180,"Down"
"YLR308W",240.072130945668,1.15003958626198,0.19292594498343,5.96104161293992,2.50635125204652e-09,7.36051246763802e-09,"Up"
"YLR327C",22389.4332676311,3.91355134060322,0.0888178249769363,44.0626793283834,0,0,"Up"
"YLR364W",1291.9852896155,-1.81364512214074,0.100580863238589,-18.0317116372183,1.09838269098682e-72,1.70397747196333e-71,"Down"
"YLR367W",6264.64153765845,1.36076531274793,0.0548969076241682,24.7876496443829,1.21828272265488e-135,3.41877204926352e-134,"Up"
"YLR395C",3229.8814914217,2.42015657900467,0.0833768204493514,29.0267314819811,3.0267215490372e-185,1.27404799070806e-183,"Up"
"YLR420W",4107.25989941278,-1.39272457735276,0.0496535846300108,-28.04882241092,4.12884087025209e-173,1.55175602706974e-171,"Down"
"YLR452C",1877.19985587668,-2.1562885222488,0.0636734312510873,-33.8648079721946,2.19725982522728e-251,1.32128557490334e-249,"Down"
"YLR461W",109.920784774028,-1.24066221169889,0.173547668816371,-7.14882671810253,8.75227275587352e-13,3.12100694758864e-12,"Down"
"YML128C",12264.8665471757,1.3094720133148,0.0596024129092648,21.9701174734027,5.56244827751093e-107,1.20691747162213e-105,"Up"
"YML120C",5015.0258256116,1.98473546418509,0.0723623027157088,27.4277543651776,1.28019690600488e-165,4.4906462580638e-164,"Up"
"YML091C",5710.65429173205,1.74894473260016,0.0735362578375424,23.7834339689131,4.95665036059918e-125,1.24686415843917e-123,"Up"
"YML081C-A",6903.2181524531,1.99726978724888,0.0583058414310966,34.2550546948057,3.66748788898798e-257,2.33904227586567e-255,"Up"
"YML054C-A",89.1660371611768,-1.0269471221402,0.182647732662549,-5.62255609292198,1.88152443409198e-08,5.22425034162566e-08,"Down"
"YNCM0008C",27.020795560081,-1.34732070514143,0.332487822047435,-4.05224076131489,5.07294208487996e-05,0.000102662039499782,"Down"
"YML018C",7205.95000660835,-1.55375836138481,0.05752643087844,-27.0094691719722,1.14403034921402e-160,3.88355248652544e-159,"Down"
"YML009C",1917.31606811905,1.01906976551756,0.0553997172438848,18.394854995944,1.44446735310061e-75,2.32662420088705e-74,"Up"
"YNCM0013W",81.5943657922661,1.00630226833509,0.194660719406512,5.16951890141543,2.34697397728629e-07,5.91804859927541e-07,"Up"
"YMR015C",8266.96305400135,1.54440696848939,0.257472071750105,5.99834754112029,1.99335544938626e-09,5.89786612344183e-09,"Up"
"YMR018W",556.858635671059,-1.14041067028221,0.0897915468639513,-12.700646220185,5.86434555779159e-37,5.10723832439946e-36,"Down"
"YMR020W",4536.13680166824,-1.04714280069769,0.0615486801158345,-17.0132454299097,6.55063505794288e-65,9.35762664159532e-64,"Down"
