"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YEL003W",7.22184425751165,7.18519736419014,7.13276515565188,7.30246526155004,7.3257875774863,7.36512366503616
"YEL002C",7.24923501260447,7.26788726256647,7.32093401575054,6.93928164867557,7.03095277876635,6.94220678132775
"YEL001C",7.7487431904956,7.76823774057848,7.70582326639779,7.1978810727574,7.23640348200824,7.19820954151824
"YER001W",4.90131447002029,4.93713207378171,4.95131021556358,5.78661674450087,5.84136481742547,5.88990079738369
"YER002W",7.34394179085799,7.45961538289258,7.49555059888822,7.73196952413581,7.72939345228944,7.84576518064282
"YER003C",6.89924376566547,6.96985385721135,6.92766712861884,7.55210008504681,7.48174980984675,7.61603020027137
"YER004W",7.69158472959184,7.63988332415888,7.64735755565933,8.41959528964231,8.42428155059214,8.45551310366334
"YER005W",5.82318830075238,5.88356537554264,5.84160340887483,5.47470182543384,5.65271073143268,5.45175427281497
"YER006W",5.82967980868415,5.96247775805312,5.87613124871619,6.58127939526273,6.59609360809828,6.66283313195773
"YER007W",4.52096747885626,4.34226920171994,4.31897373851098,4.25212961402955,4.46130494857178,4.3523064216773
"YER007C-A",7.49372322872074,7.46428234301442,7.45591673213022,7.5247536609491,7.51199402161712,7.54705623075779
"YNCE0011C",4.07403571151493,4.05764819059863,3.96932105185948,4.31375950655211,4.30538016736841,4.23915220934273
"YER008C",4.9232027302648,4.96130886265353,4.9153504370597,5.03511477984079,5.03000463352323,5.0438222000037
"YER009W",9.2675812636469,9.22833288773198,9.25003070416802,9.74253654639084,9.69206899199877,9.76923628210608
"YER010C",7.17468758457502,7.18434955790211,7.19310935296093,7.12415016962114,7.10689575239955,7.08608765439028
"YER011W",12.1063313312794,12.1760040648957,12.140929125421,12.3641235657915,12.1911288300045,12.3748594947164
"YNCE0012W",2.48806655160299,2.46907690374966,2.6667141548996,2.15882790533906,2.59514911906626,2.00666734015824
"YER012W",8.3132357214802,8.25952577602353,8.21873742726549,8.36986170481664,8.3561574252132,8.26227979594043
"YER013W",4.60622241797918,4.67005030240814,4.64717682014906,4.80685637960045,4.76751696831123,4.85242162727197
"YER014W",6.19779267596602,6.18853889922759,6.19836112739481,6.05143511043653,5.99990490903069,6.0468136159807
"YER014C-A",0,0,0,0,0,0
"YER015W",4.47233264039058,4.41794966175782,4.39282933569355,5.36294340238526,5.24484756150925,5.27052619127668
"YER016W",5.88669053124806,5.82138784555771,5.78217261207597,5.76657686577312,5.64977001846281,5.72236220273
"YER017C",6.02403073302282,6.00010094338548,5.97954962457715,6.32565028225852,6.29840142969828,6.22204964012937
"YER018C",7.04873701696958,6.99298438167762,6.96371952009708,7.24382100974369,7.31234735129259,7.28545327961214
"YER019W",6.82678998528299,6.83391041482932,6.8620956326399,6.48020836169694,6.50221874071589,6.42072421179692
"YER019C-A",9.35917725977734,9.36123579108087,9.32390861794686,9.73828612133115,9.55902852153037,9.64372364781321
"YER020W",6.93121228925652,6.91809176734151,6.88939114847349,7.42563165846912,7.47856604816434,7.34879703432061
"YER021W",7.2173250300559,7.17181953189965,7.15948031949427,7.34769180767304,7.45288339626267,7.27453886169156
"YER022W",5.13377188102525,5.09017315104634,5.15420183201361,4.99522050680948,5.08905461414382,5.02554724426741
"YER023W",8.10698287032737,8.08232011670646,8.09620056651887,8.05496322752439,7.92505420252223,8.03944894448676
"YER024W",7.49742521777991,7.44807224226849,7.43000646461006,6.39046851310721,6.22515989510145,6.44416677430054
"YER025W",6.80205084359349,6.86143872170685,6.87409820094266,7.37151230913711,7.35925863297352,7.43299768365386
"YNCE0013W",1.63020546414911,1.53125543445996,0.980166682679056,1.8857320074099,1.71898721844889,1.59089054510231
"YER026C",7.19410801540418,7.0981220963668,7.12072114952132,7.0716373906661,6.68532432660409,6.94206439674007
"YER027C",6.06417617655885,6.14326038593253,6.08072189439335,5.88996779970094,5.97751876906441,5.90581261682194
"YER028C",5.18774830377038,5.25255683093366,5.21259912604171,3.74414302842689,3.66654872574235,3.70187942382076
"YER029C",6.80608475435077,6.81628105725677,6.77305871089105,6.72708955902392,6.70173594633977,6.69828080595023
"YER030W",7.72194102568512,7.61013450712888,7.59518953579637,7.89466923782965,7.79186965131155,7.86367261765809
"YER031C",7.88805175963686,7.8983251583736,7.8922265222305,7.82025050104659,7.69136187498776,7.73979655283828
"YER032W",4.5561885623769,4.56870274093483,4.60553223150325,4.39015559015083,4.36949129754478,4.32286150118743
"YER033C",3.60638192379214,3.63900978629766,3.77402120674458,3.519594809195,3.53394009134041,3.38553721664699
