"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YJL218W",416.698478942894,-1.09604809168573,0.106110577881698,-10.3293009383825,5.19377064018593e-25,3.22452977602104e-24,"Down"
"YJL217W",4089.09079510299,-1.07853101448009,0.0611302464188686,-17.6431648433072,1.14844820582304e-69,1.7347612372169e-68,"Down"
"YJL213W",2703.85898034735,-3.06374493020439,0.0584128215272415,-52.4498705952011,0,0,"Down"
"YJL212C",2285.81354888704,-1.36477245002447,0.0616012557668452,-22.1549452691354,9.3473797833154e-109,2.05642355232939e-107,"Down"
"YJL160C",709.63732210143,-1.02300821885044,0.0789402328685779,-12.9592754122423,2.08204904676171e-38,1.88609148941943e-37,"Down"
"YJL101C",5865.13138146754,-1.85979585694173,0.0716186139779267,-25.9680515112304,1.13724457468708e-148,3.60832273596695e-147,"Down"
"YJL089W",1199.04765071474,-1.63391315590221,0.09359955440376,-17.4564202395024,3.07630298238228e-68,4.54889391821118e-67,"Down"
"YJL088W",8929.7570403035,-2.47560758345367,0.0508345156493833,-48.6993443692563,0,0,"Down"
"YJL071W",2454.87615139802,-1.15447057154187,0.0523772971233836,-22.0414308287485,1.15431297134795e-107,2.52191422183078e-106,"Down"
"YJL060W",10473.0354223306,-2.72677096609559,0.0839470061856956,-32.4820513558734,1.91152577565005e-231,1.0404632540909e-229,"Down"
"YJR004C",4766.21257269213,-1.76086153061803,0.0517661546384163,-34.0156911966429,1.30594780386987e-253,8.00558682877122e-252,"Down"
"YJR005C-A",109.187102221549,-1.99883075091691,0.184652926799341,-10.8247986401483,2.62655836393665e-27,1.7642648414783e-26,"Down"
"YJR010W",34737.8883891449,-5.11283357735836,0.0988654888477888,-51.7150487692422,0,0,"Down"
"YJR027W",152.301942384466,-1.71077133361898,0.159066022503892,-10.7551022316983,5.60718100410279e-27,3.718880342427e-26,"Down"
"YJR109C",21928.3102363847,-1.94675734393677,0.0653044569232372,-29.8104820965758,2.85736008335998e-195,1.30734576567644e-193,"Down"
"YJR111C",3957.75760952353,-1.47188781303033,0.0502827672938232,-29.2722117784305,2.34248563803879e-188,1.01304481634089e-186,"Down"
"YJR130C",5366.95358353397,-1.14281121153028,0.0564296548049099,-20.2519617651612,3.41370864936406e-91,6.39589211041088e-90,"Down"
"YJR137C",32631.6272504125,-3.93374690922284,0.0771847365410482,-50.9653473667142,0,0,"Down"
"YJR139C",21170.4596898026,-1.24730359409119,0.06302945918003,-19.7892161906155,3.68731453477013e-87,6.61412044674391e-86,"Down"
"YJR147W",1855.19505654421,-1.54659195585125,0.0603312698368964,-25.6349975731061,6.2153520277536e-145,1.89583249774088e-143,"Down"
"YJR150C",44004.0321166838,-1.50514559652894,0.0801441488852368,-18.7804801406557,1.09089155868455e-78,1.78906215624267e-77,"Down"
"YKL220C",552.127509696896,-1.2220728653683,0.0894025949580285,-13.6693220811099,1.54830893486132e-42,1.5641636183543e-41,"Down"
"YKL216W",16015.6475346771,-1.38464678630052,0.064006704510462,-21.6328398234313,8.81840341994927e-104,1.86843621454898e-102,"Down"
"YKL211C",10056.6464905269,-1.65026435950764,0.0442115511701316,-37.3265428565766,6.09116930907415e-305,5.06047934440713e-303,"Down"
"YKL201C",7342.65949753038,-1.48518880689641,0.0590558425436856,-25.1488886268579,1.45331677474999e-139,4.24826023878306e-138,"Down"
"YKL178C",2947.43676030599,-1.50267605912907,0.062391282395582,-24.0847118608909,3.61515239255569e-128,9.35494762565437e-127,"Down"
"YKL175W",19951.7874986763,-1.43000156897941,0.0749710345453437,-19.0740541017148,4.14860558983823e-81,6.98514551846363e-80,"Down"
"YKL128C",2976.31099412017,-1.64121069928244,0.0573674181057416,-28.6087600501264,5.22794628733575e-180,2.08919321887582e-178,"Down"
"YKL127W",2522.38142341618,-1.02798302543653,0.0521466478392415,-19.7133098297251,1.65762108625922e-86,2.93994930860695e-85,"Down"
"YKL120W",13034.4723637408,-1.34431527881935,0.0543784107064539,-24.7214889393558,6.28324165908407e-135,1.74001701032705e-133,"Down"
"YKL068W-A",9984.65688395287,-2.88723660706263,0.0803235946937532,-35.9450621958678,6.0452789951276e-283,4.43835948549252e-281,"Down"
"YKL001C",18839.775058851,-4.38062580107154,0.104259760810971,-42.0164574232417,0,0,"Down"
"YKR041W",207.015692459802,-1.22086817026387,0.130851000070018,-9.33021657924349,1.05654790338376e-20,5.5223869718254e-20,"Down"
"YKR069W",13342.0657870043,-3.39800163276799,0.0711763408126287,-47.7406058526275,0,0,"Down"
"YLL062C",1611.93543114262,-1.58082351677151,0.080268629243265,-19.6941636063151,2.41960039859244e-86,4.27937168535369e-85,"Down"
"YLL061W",2597.74359943685,-1.69004559296884,0.0756598702473379,-22.3374106702001,1.60056076436398e-110,3.60926452364077e-109,"Down"
"YLL055W",3678.98010167158,-1.66483320868072,0.0998096216956194,-16.6800873542814,1.82951194391591e-62,2.52768893082824e-61,"Down"
